facility_id,period,drug_id,opening_stock,resupply_units,consumption,closing_stock,stockout_flag
PKM-001,2024-05-01,OBT-002,8,0,0,8,False
PKM-001,2024-06-01,OBT-002,8,0,2,6,False
PKM-001,2024-07-01,OBT-002,6,0,1,5,False
PKM-001,2024-08-01,OBT-002,5,0,0,5,False
PKM-001,2024-09-01,OBT-002,5,0,2,3,False
PKM-001,2024-10-01,OBT-002,3,0,3,0,False
PKM-001,2024-11-01,OBT-002,0,0,0,0,True
PKM-001,2024-12-01,OBT-002,0,0,0,0,True
PKM-001,2025-01-01,OBT-002,0,0,0,0,True
PKM-001,2025-02-01,OBT-002,0,0,0,0,True
PKM-001,2025-03-01,OBT-002,0,0,0,0,True
PKM-001,2025-04-01,OBT-002,8,8,0,8,False
PKM-001,2025-05-01,OBT-002,8,0,3,5,False
PKM-001,2025-06-01,OBT-002,6,1,6,0,True
PKM-001,2025-07-01,OBT-002,14,14,1,13,False
PKM-001,2025-08-01,OBT-002,14,1,1,13,False
PKM-001,2025-09-01,OBT-002,14,1,0,14,False
PKM-001,2025-10-01,OBT-002,14,0,4,10,False
PKM-001,2025-11-01,OBT-002,10,0,4,6,False
PKM-001,2025-12-01,OBT-002,6,0,0,6,False
PKM-001,2023-01-01,OBT-003,27,0,0,27,False
PKM-001,2023-02-01,OBT-003,27,0,8,19,False
PKM-001,2023-03-01,OBT-003,19,0,19,0,False
PKM-001,2023-04-01,OBT-003,38,38,6,32,False
PKM-001,2023-05-01,OBT-003,38,6,7,31,False
PKM-001,2023-06-01,OBT-003,38,7,12,26,False
PKM-001,2023-07-01,OBT-003,26,0,23,3,False
PKM-001,2023-08-01,OBT-003,46,43,13,33,False
PKM-001,2023-09-01,OBT-003,46,13,0,46,False
PKM-001,2023-10-01,OBT-003,46,0,15,31,False
PKM-001,2023-11-01,OBT-003,31,0,6,25,False
PKM-001,2023-12-01,OBT-003,25,0,6,19,False
PKM-001,2024-01-01,OBT-003,19,0,7,12,False
PKM-001,2024-02-01,OBT-003,12,0,0,12,False
PKM-001,2024-03-01,OBT-003,12,0,11,1,False
PKM-001,2024-04-01,OBT-003,22,21,0,22,False
PKM-001,2024-05-01,OBT-003,22,0,0,22,False
PKM-001,2024-06-01,OBT-003,22,0,6,16,False
PKM-001,2024-07-01,OBT-003,21,5,7,14,False
PKM-001,2024-08-01,OBT-003,21,7,0,21,False
PKM-001,2024-09-01,OBT-003,21,0,6,15,False
PKM-001,2024-10-01,OBT-003,15,0,15,0,True
PKM-001,2024-11-01,OBT-003,0,0,0,0,True
PKM-001,2024-12-01,OBT-003,0,0,0,0,True
PKM-001,2025-01-01,OBT-003,0,0,0,0,True
PKM-001,2025-02-01,OBT-003,0,0,0,0,True
PKM-001,2025-03-01,OBT-003,0,0,0,0,True
PKM-001,2025-04-01,OBT-003,64,64,0,64,False
PKM-001,2025-05-01,OBT-003,64,0,23,41,False
PKM-001,2025-06-01,OBT-003,64,23,22,42,False
PKM-001,2025-07-01,OBT-003,46,4,6,40,False
PKM-001,2025-08-01,OBT-003,46,6,7,39,False
PKM-001,2025-09-01,OBT-003,44,5,0,44,False
PKM-001,2025-10-01,OBT-003,44,0,21,23,False
PKM-001,2025-11-01,OBT-003,23,0,9,14,False
PKM-001,2025-12-01,OBT-003,14,0,0,14,False
PKM-001,2023-01-01,OBT-004,138,0,0,138,False
PKM-001,2023-02-01,OBT-004,138,0,12,126,False
PKM-001,2023-03-01,OBT-004,126,0,36,90,False
PKM-001,2023-04-01,OBT-004,110,20,12,98,False
PKM-001,2023-05-01,OBT-004,110,12,12,98,False
PKM-001,2023-06-01,OBT-004,110,12,72,38,False
PKM-001,2023-07-01,OBT-004,144,106,36,108,False
PKM-001,2023-08-01,OBT-004,144,36,120,24,False
PKM-001,2023-09-01,OBT-004,240,216,48,192,False
PKM-001,2023-10-01,OBT-004,192,0,72,120,False
PKM-001,2023-11-01,OBT-004,120,0,60,60,False
PKM-001,2023-12-01,OBT-004,60,0,60,0,False
PKM-001,2024-01-01,OBT-004,0,0,0,0,True
PKM-001,2024-02-01,OBT-004,0,0,0,0,False
PKM-001,2024-03-01,OBT-004,0,0,0,0,True
PKM-001,2024-04-01,OBT-004,240,240,96,144,False
PKM-001,2024-05-01,OBT-004,240,96,48,192,False
PKM-001,2024-06-01,OBT-004,240,48,12,228,False
PKM-001,2024-07-01,OBT-004,228,0,60,168,False
PKM-001,2024-08-01,OBT-004,168,0,0,168,False
PKM-001,2024-09-01,OBT-004,168,0,60,108,False
PKM-001,2024-10-01,OBT-004,108,0,84,24,False
PKM-001,2024-11-01,OBT-004,24,0,24,0,True
PKM-001,2024-12-01,OBT-004,0,0,0,0,True
PKM-001,2025-01-01,OBT-004,0,0,0,0,True
PKM-001,2025-02-01,OBT-004,0,0,0,0,True
PKM-001,2025-03-01,OBT-004,0,0,0,0,True
PKM-001,2025-04-01,OBT-004,288,288,48,240,False
PKM-001,2025-05-01,OBT-004,240,0,84,156,False
PKM-001,2025-06-01,OBT-004,192,36,96,96,False
PKM-001,2025-07-01,OBT-004,192,96,60,132,False
PKM-001,2025-08-01,OBT-004,192,60,60,132,False
PKM-001,2025-09-01,OBT-004,192,60,48,144,False
PKM-001,2025-10-01,OBT-004,144,0,84,60,False
PKM-001,2025-11-01,OBT-004,60,0,24,36,False
PKM-001,2025-12-01,OBT-004,36,0,0,36,False
PKM-001,2023-01-01,OBT-005,17,0,0,17,False
PKM-001,2023-02-01,OBT-005,17,0,0,17,False
PKM-001,2023-03-01,OBT-005,17,0,0,17,False
PKM-001,2023-04-01,OBT-005,17,0,0,17,False
PKM-001,2023-05-01,OBT-005,17,0,0,17,False
PKM-001,2023-06-01,OBT-005,17,0,9,8,False
PKM-001,2023-07-01,OBT-005,18,10,0,18,False
PKM-001,2023-08-01,OBT-005,18,0,18,0,False
PKM-001,2023-09-01,OBT-005,36,36,9,27,False
PKM-001,2023-10-01,OBT-005,27,0,9,18,False
PKM-001,2023-11-01,OBT-005,18,0,9,9,False
PKM-001,2023-12-01,OBT-005,9,0,9,0,False
PKM-001,2024-01-01,OBT-005,0,0,0,0,True
PKM-001,2024-02-01,OBT-005,0,0,0,0,False
PKM-001,2024-03-01,OBT-005,0,0,0,0,True
PKM-001,2024-04-01,OBT-005,36,36,18,18,False
PKM-001,2024-05-01,OBT-005,36,18,9,27,False
PKM-001,2024-06-01,OBT-005,36,9,0,36,False
PKM-001,2024-07-01,OBT-005,36,0,9,27,False
PKM-001,2024-08-01,OBT-005,27,0,0,27,False
PKM-001,2024-09-01,OBT-005,27,0,9,18,False
PKM-001,2024-10-01,OBT-005,18,0,9,9,False
PKM-001,2024-11-01,OBT-005,9,0,0,9,False
PKM-001,2024-12-01,OBT-005,9,0,0,9,False
PKM-001,2025-01-01,OBT-005,9,0,9,0,True
PKM-001,2025-02-01,OBT-005,0,0,0,0,False
PKM-001,2025-03-01,OBT-005,0,0,0,0,True
PKM-001,2025-04-01,OBT-005,36,36,9,27,False
PKM-001,2025-05-01,OBT-005,27,0,9,18,False
PKM-001,2025-06-01,OBT-005,18,0,9,9,False
PKM-001,2025-07-01,OBT-005,18,9,9,9,False
PKM-001,2025-08-01,OBT-005,18,9,9,9,False
PKM-001,2025-09-01,OBT-005,18,9,9,9,False
PKM-001,2025-10-01,OBT-005,9,0,9,0,False
PKM-001,2025-11-01,OBT-005,0,0,0,0,False
PKM-001,2025-12-01,OBT-005,0,0,0,0,False
PKM-001,2023-01-01,OBT-006,17,0,0,17,False
PKM-001,2023-02-01,OBT-006,17,0,0,17,False
PKM-001,2023-03-01,OBT-006,17,0,0,17,False
PKM-001,2023-04-01,OBT-006,17,0,0,17,False
PKM-001,2023-05-01,OBT-006,17,0,0,17,False
PKM-001,2023-06-01,OBT-006,17,0,9,8,False
PKM-001,2023-07-01,OBT-006,18,10,0,18,False
PKM-001,2023-08-01,OBT-006,18,0,18,0,False
PKM-001,2023-09-01,OBT-006,36,36,9,27,False
PKM-001,2023-10-01,OBT-006,27,0,9,18,False
PKM-001,2023-11-01,OBT-006,18,0,9,9,False
PKM-001,2023-12-01,OBT-006,9,0,9,0,False
PKM-001,2024-01-01,OBT-006,0,0,0,0,True
PKM-001,2024-02-01,OBT-006,0,0,0,0,False
PKM-001,2024-03-01,OBT-006,0,0,0,0,True
PKM-001,2024-04-01,OBT-006,36,36,18,18,False
PKM-001,2024-05-01,OBT-006,36,18,9,27,False
PKM-001,2024-06-01,OBT-006,36,9,0,36,False
PKM-001,2024-07-01,OBT-006,36,0,9,27,False
PKM-001,2024-08-01,OBT-006,27,0,0,27,False
PKM-001,2024-09-01,OBT-006,27,0,9,18,False
PKM-001,2024-10-01,OBT-006,18,0,9,9,False
PKM-001,2024-11-01,OBT-006,9,0,0,9,False
PKM-001,2024-12-01,OBT-006,9,0,0,9,False
PKM-001,2025-01-01,OBT-006,9,0,9,0,True
PKM-001,2025-02-01,OBT-006,0,0,0,0,False
PKM-001,2025-03-01,OBT-006,0,0,0,0,True
PKM-001,2025-04-01,OBT-006,36,36,9,27,False
PKM-001,2025-05-01,OBT-006,27,0,9,18,False
PKM-001,2025-06-01,OBT-006,18,0,9,9,False
PKM-001,2025-07-01,OBT-006,18,9,9,9,False
PKM-001,2025-08-01,OBT-006,18,9,9,9,False
PKM-001,2025-09-01,OBT-006,18,9,9,9,False
PKM-001,2025-10-01,OBT-006,9,0,9,0,False
PKM-001,2025-11-01,OBT-006,0,0,0,0,False
PKM-001,2025-12-01,OBT-006,0,0,0,0,False
PKM-001,2023-01-01,OBT-007,2,0,0,2,False
PKM-001,2023-02-01,OBT-007,2,0,0,2,False
PKM-001,2023-03-01,OBT-007,2,0,1,1,False
PKM-001,2023-04-01,OBT-007,2,1,0,2,False
PKM-001,2023-05-01,OBT-007,2,0,0,2,False
PKM-001,2023-06-01,OBT-007,2,0,1,1,False
PKM-001,2023-07-01,OBT-007,2,1,1,1,False
PKM-001,2023-08-01,OBT-007,2,1,1,1,False
PKM-001,2023-09-01,OBT-007,2,1,0,2,False
PKM-001,2023-10-01,OBT-007,2,0,1,1,False
PKM-001,2023-11-01,OBT-007,1,0,0,1,False
PKM-001,2023-12-01,OBT-007,1,0,0,1,False
PKM-001,2024-01-01,OBT-007,1,0,0,1,False
PKM-001,2024-02-01,OBT-007,1,0,0,1,False
PKM-001,2024-03-01,OBT-007,1,0,1,0,False
PKM-001,2024-04-01,OBT-007,2,2,0,2,False
PKM-001,2024-05-01,OBT-007,2,0,0,2,False
PKM-001,2024-06-01,OBT-007,2,0,0,2,False
PKM-001,2024-07-01,OBT-007,2,0,0,2,False
PKM-001,2024-08-01,OBT-007,2,0,0,2,False
PKM-001,2024-09-01,OBT-007,2,0,0,2,False
PKM-001,2024-10-01,OBT-007,2,0,1,1,False
PKM-001,2024-11-01,OBT-007,1,0,1,0,True
PKM-001,2024-12-01,OBT-007,0,0,0,0,True
PKM-001,2025-01-01,OBT-007,0,0,0,0,True
PKM-001,2025-02-01,OBT-007,0,0,0,0,False
PKM-001,2025-03-01,OBT-007,0,0,0,0,True
PKM-001,2025-04-01,OBT-007,4,4,0,4,False
PKM-001,2025-05-01,OBT-007,4,0,1,3,False
PKM-001,2025-06-01,OBT-007,4,1,2,2,False
PKM-001,2025-07-01,OBT-007,4,2,0,4,False
PKM-001,2025-08-01,OBT-007,4,0,0,4,False
PKM-001,2025-09-01,OBT-007,4,0,0,4,False
PKM-001,2025-10-01,OBT-007,4,0,1,3,False
PKM-001,2025-11-01,OBT-007,3,0,1,2,False
PKM-001,2025-12-01,OBT-007,2,0,0,2,False
PKM-001,2023-01-01,OBT-008,14,0,0,14,False
PKM-001,2023-02-01,OBT-008,14,0,0,14,False
PKM-001,2023-03-01,OBT-008,14,0,0,14,False
PKM-001,2023-04-01,OBT-008,14,0,0,14,False
PKM-001,2023-05-01,OBT-008,14,0,0,14,False
PKM-001,2023-06-01,OBT-008,14,0,0,14,False
PKM-001,2023-07-01,OBT-008,14,0,14,0,True
PKM-001,2023-08-01,OBT-008,48,48,0,48,False
PKM-001,2023-09-01,OBT-008,48,0,15,33,False
PKM-001,2023-10-01,OBT-008,33,0,23,10,False
PKM-001,2023-11-01,OBT-008,10,0,0,10,False
PKM-001,2023-12-01,OBT-008,10,0,0,10,False
PKM-001,2024-01-01,OBT-008,10,0,10,0,True
PKM-001,2024-02-01,OBT-008,0,0,0,0,False
PKM-001,2024-03-01,OBT-008,0,0,0,0,False
PKM-001,2024-04-01,OBT-008,84,84,18,66,False
PKM-001,2024-05-01,OBT-008,66,0,23,43,False
PKM-001,2024-06-01,OBT-008,46,3,0,46,False
PKM-001,2024-07-01,OBT-008,46,0,0,46,False
PKM-001,2024-08-01,OBT-008,46,0,0,46,False
PKM-001,2024-09-01,OBT-008,46,0,0,46,False
PKM-001,2024-10-01,OBT-008,46,0,0,46,False
PKM-001,2024-11-01,OBT-008,46,0,0,46,False
PKM-001,2024-12-01,OBT-008,46,0,0,46,False
PKM-001,2025-01-01,OBT-008,46,0,0,46,False
PKM-001,2025-02-01,OBT-008,46,0,0,46,False
PKM-001,2025-03-01,OBT-008,46,0,0,46,False
PKM-001,2025-04-01,OBT-008,46,0,0,46,False
PKM-001,2025-05-01,OBT-008,46,0,0,46,False
PKM-001,2025-06-01,OBT-008,46,0,0,46,False
PKM-001,2025-07-01,OBT-008,46,0,20,26,False
PKM-001,2025-08-01,OBT-008,40,14,23,17,False
PKM-001,2025-09-01,OBT-008,46,29,0,46,False
PKM-001,2025-10-01,OBT-008,46,0,0,46,False
PKM-001,2025-11-01,OBT-008,46,0,14,32,False
PKM-001,2025-12-01,OBT-008,32,0,0,32,False
PKM-001,2023-01-01,OBT-009,9,0,0,9,False
PKM-001,2023-02-01,OBT-009,9,0,0,9,False
PKM-001,2023-03-01,OBT-009,9,0,0,9,False
PKM-001,2023-04-01,OBT-009,9,0,0,9,False
PKM-001,2023-05-01,OBT-009,9,0,0,9,False
PKM-001,2023-06-01,OBT-009,9,0,0,9,False
PKM-001,2023-07-01,OBT-009,9,0,9,0,True
PKM-001,2023-08-01,OBT-009,26,26,0,26,False
PKM-001,2023-09-01,OBT-009,26,0,13,13,False
PKM-001,2023-10-01,OBT-009,13,0,13,0,False
PKM-001,2023-11-01,OBT-009,0,0,0,0,False
PKM-001,2023-12-01,OBT-009,0,0,0,0,False
PKM-001,2024-01-01,OBT-009,0,0,0,0,True
PKM-001,2024-02-01,OBT-009,0,0,0,0,False
PKM-001,2024-03-01,OBT-009,0,0,0,0,False
PKM-001,2024-04-01,OBT-009,50,50,13,37,False
PKM-001,2024-05-01,OBT-009,37,0,13,24,False
PKM-001,2024-06-01,OBT-009,26,2,0,26,False
PKM-001,2024-07-01,OBT-009,26,0,0,26,False
PKM-001,2024-08-01,OBT-009,26,0,0,26,False
PKM-001,2024-09-01,OBT-009,26,0,0,26,False
PKM-001,2024-10-01,OBT-009,26,0,0,26,False
PKM-001,2024-11-01,OBT-009,26,0,0,26,False
PKM-001,2024-12-01,OBT-009,26,0,0,26,False
PKM-001,2025-01-01,OBT-009,26,0,0,26,False
PKM-001,2025-02-01,OBT-009,26,0,0,26,False
PKM-001,2025-03-01,OBT-009,26,0,0,26,False
PKM-001,2025-04-01,OBT-009,26,0,0,26,False
PKM-001,2025-05-01,OBT-009,26,0,0,26,False
PKM-001,2025-06-01,OBT-009,26,0,0,26,False
PKM-001,2025-07-01,OBT-009,26,0,13,13,False
PKM-001,2025-08-01,OBT-009,26,13,13,13,False
PKM-001,2025-09-01,OBT-009,26,13,0,26,False
PKM-001,2025-10-01,OBT-009,26,0,0,26,False
PKM-001,2025-11-01,OBT-009,26,0,13,13,False
PKM-001,2025-12-01,OBT-009,13,0,0,13,False
PKM-001,2023-01-01,OBT-010,2,0,0,2,False
PKM-001,2023-02-01,OBT-010,2,0,0,2,False
PKM-001,2023-03-01,OBT-010,2,0,0,2,False
PKM-001,2023-04-01,OBT-010,2,0,0,2,False
PKM-001,2023-05-01,OBT-010,2,0,0,2,False
PKM-001,2023-06-01,OBT-010,2,0,0,2,False
PKM-001,2023-07-01,OBT-010,2,0,1,1,False
PKM-001,2023-08-01,OBT-010,2,1,0,2,False
PKM-001,2023-09-01,OBT-010,2,0,1,1,False
PKM-001,2023-10-01,OBT-010,1,0,1,0,False
PKM-001,2023-11-01,OBT-010,0,0,0,0,False
PKM-001,2023-12-01,OBT-010,0,0,0,0,False
PKM-001,2024-01-01,OBT-010,0,0,0,0,True
PKM-001,2024-02-01,OBT-010,0,0,0,0,False
PKM-001,2024-03-01,OBT-010,0,0,0,0,False
PKM-001,2024-04-01,OBT-010,4,4,1,3,False
PKM-001,2024-05-01,OBT-010,3,0,1,2,False
PKM-001,2024-06-01,OBT-010,2,0,0,2,False
PKM-001,2024-07-01,OBT-010,2,0,0,2,False
PKM-001,2024-08-01,OBT-010,2,0,0,2,False
PKM-001,2024-09-01,OBT-010,2,0,0,2,False
PKM-001,2024-10-01,OBT-010,2,0,0,2,False
PKM-001,2024-11-01,OBT-010,2,0,0,2,False
PKM-001,2024-12-01,OBT-010,2,0,0,2,False
PKM-001,2025-01-01,OBT-010,2,0,0,2,False
PKM-001,2025-02-01,OBT-010,2,0,0,2,False
PKM-001,2025-03-01,OBT-010,2,0,0,2,False
PKM-001,2025-04-01,OBT-010,2,0,0,2,False
PKM-001,2025-05-01,OBT-010,2,0,0,2,False
PKM-001,2025-06-01,OBT-010,2,0,0,2,False
PKM-001,2025-07-01,OBT-010,2,0,1,1,False
PKM-001,2025-08-01,OBT-010,1,0,1,0,False
PKM-001,2025-09-01,OBT-010,2,2,0,2,False
PKM-001,2025-10-01,OBT-010,2,0,0,2,False
PKM-001,2025-11-01,OBT-010,2,0,1,1,False
PKM-001,2025-12-01,OBT-010,1,0,0,1,False
PKM-001,2023-01-01,OBT-011,3,0,0,3,False
PKM-001,2023-02-01,OBT-011,3,0,0,3,False
PKM-001,2023-03-01,OBT-011,3,0,0,3,False
PKM-001,2023-04-01,OBT-011,3,0,3,0,True
PKM-001,2023-05-01,OBT-011,10,10,6,4,False
PKM-001,2023-06-01,OBT-011,12,8,0,12,False
PKM-001,2023-07-01,OBT-011,12,0,0,12,False
PKM-001,2023-08-01,OBT-011,12,0,0,12,False
PKM-001,2023-09-01,OBT-011,12,0,8,4,False
PKM-001,2023-10-01,OBT-011,4,0,0,4,False
PKM-001,2023-11-01,OBT-011,4,0,0,4,False
PKM-001,2023-12-01,OBT-011,4,0,0,4,False
PKM-001,2024-01-01,OBT-011,4,0,0,4,False
PKM-001,2024-02-01,OBT-011,4,0,0,4,False
PKM-001,2024-03-01,OBT-011,4,0,0,4,False
PKM-001,2024-04-01,OBT-011,4,0,0,4,False
PKM-001,2024-05-01,OBT-011,4,0,4,0,True
PKM-001,2024-06-01,OBT-011,12,12,4,8,False
PKM-001,2024-07-01,OBT-011,8,0,0,8,False
PKM-001,2024-08-01,OBT-011,12,4,0,12,False
PKM-001,2024-09-01,OBT-011,12,0,0,12,False
PKM-001,2024-10-01,OBT-011,12,0,0,12,False
PKM-001,2024-11-01,OBT-011,12,0,0,12,False
PKM-001,2024-12-01,OBT-011,12,0,6,6,False
PKM-001,2025-01-01,OBT-011,6,0,0,6,False
PKM-001,2025-02-01,OBT-011,6,0,0,6,False
PKM-001,2025-03-01,OBT-011,6,0,0,6,False
PKM-001,2025-04-01,OBT-011,6,0,0,6,False
PKM-001,2025-05-01,OBT-011,6,0,0,6,False
PKM-001,2025-06-01,OBT-011,6,0,4,2,False
PKM-001,2025-07-01,OBT-011,8,6,0,8,False
PKM-001,2025-08-01,OBT-011,8,0,0,8,False
PKM-001,2025-09-01,OBT-011,8,0,0,8,False
PKM-001,2025-10-01,OBT-011,8,0,5,3,False
PKM-001,2025-11-01,OBT-011,3,0,0,3,False
PKM-001,2025-12-01,OBT-011,3,0,0,3,False
PKM-001,2023-01-01,OBT-012,18,0,0,18,False
PKM-001,2023-02-01,OBT-012,18,0,0,18,False
PKM-001,2023-03-01,OBT-012,18,0,0,18,False
PKM-001,2023-04-01,OBT-012,18,0,18,0,True
PKM-001,2023-05-01,OBT-012,58,58,33,25,False
PKM-001,2023-06-01,OBT-012,66,41,0,66,False
PKM-001,2023-07-01,OBT-012,66,0,0,66,False
PKM-001,2023-08-01,OBT-012,66,0,0,66,False
PKM-001,2023-09-01,OBT-012,66,0,47,19,False
PKM-001,2023-10-01,OBT-012,19,0,0,19,False
PKM-001,2023-11-01,OBT-012,19,0,0,19,False
PKM-001,2023-12-01,OBT-012,19,0,0,19,False
PKM-001,2024-01-01,OBT-012,19,0,0,19,False
PKM-001,2024-02-01,OBT-012,19,0,0,19,False
PKM-001,2024-03-01,OBT-012,19,0,0,19,False
PKM-001,2024-04-01,OBT-012,19,0,0,19,False
PKM-001,2024-05-01,OBT-012,19,0,19,0,True
PKM-001,2024-06-01,OBT-012,70,70,26,44,False
PKM-001,2024-07-01,OBT-012,70,26,0,70,False
PKM-001,2024-08-01,OBT-012,70,0,0,70,False
PKM-001,2024-09-01,OBT-012,70,0,0,70,False
PKM-001,2024-10-01,OBT-012,70,0,0,70,False
PKM-001,2024-11-01,OBT-012,70,0,0,70,False
PKM-001,2024-12-01,OBT-012,70,0,36,34,False
PKM-001,2025-01-01,OBT-012,34,0,0,34,False
PKM-001,2025-02-01,OBT-012,34,0,0,34,False
PKM-001,2025-03-01,OBT-012,34,0,0,34,False
PKM-001,2025-04-01,OBT-012,34,0,0,34,False
PKM-001,2025-05-01,OBT-012,34,0,0,34,False
PKM-001,2025-06-01,OBT-012,34,0,26,8,False
PKM-001,2025-07-01,OBT-012,52,44,0,52,False
PKM-001,2025-08-01,OBT-012,52,0,0,52,False
PKM-001,2025-09-01,OBT-012,52,0,0,52,False
PKM-001,2025-10-01,OBT-012,52,0,32,20,False
PKM-001,2025-11-01,OBT-012,20,0,0,20,False
PKM-001,2025-12-01,OBT-012,20,0,0,20,False
PKM-001,2023-01-01,OBT-013,26,0,13,13,False
PKM-001,2023-02-01,OBT-013,13,0,6,7,False
PKM-001,2023-03-01,OBT-013,7,0,6,1,False
PKM-001,2023-04-01,OBT-013,26,25,6,20,False
PKM-001,2023-05-01,OBT-013,21,1,0,21,False
PKM-001,2023-06-01,OBT-013,21,0,0,21,False
PKM-001,2023-07-01,OBT-013,21,0,0,21,False
PKM-001,2023-08-01,OBT-013,21,0,21,0,True
PKM-001,2023-09-01,OBT-013,0,0,0,0,False
PKM-001,2023-10-01,OBT-013,0,0,0,0,False
PKM-001,2023-11-01,OBT-013,0,0,0,0,False
PKM-001,2023-12-01,OBT-013,0,0,0,0,True
PKM-001,2024-01-01,OBT-013,0,0,0,0,True
PKM-001,2024-02-01,OBT-013,0,0,0,0,False
PKM-001,2024-03-01,OBT-013,0,0,0,0,True
PKM-001,2024-04-01,OBT-013,46,46,6,40,False
PKM-001,2024-05-01,OBT-013,40,0,34,6,False
PKM-001,2024-06-01,OBT-013,68,62,13,55,False
PKM-001,2024-07-01,OBT-013,68,13,17,51,False
PKM-001,2024-08-01,OBT-013,68,17,17,51,False
PKM-001,2024-09-01,OBT-013,51,0,50,1,False
PKM-001,2024-10-01,OBT-013,1,0,1,0,True
PKM-001,2024-11-01,OBT-013,0,0,0,0,False
PKM-001,2024-12-01,OBT-013,0,0,0,0,True
PKM-001,2025-01-01,OBT-013,0,0,0,0,True
PKM-001,2025-02-01,OBT-013,0,0,0,0,True
PKM-001,2025-03-01,OBT-013,0,0,0,0,False
PKM-001,2025-04-01,OBT-013,58,58,17,41,False
PKM-001,2025-05-01,OBT-013,46,5,6,40,False
PKM-001,2025-06-01,OBT-013,40,0,0,40,False
PKM-001,2025-07-01,OBT-013,40,0,0,40,False
PKM-001,2025-08-01,OBT-013,40,0,6,34,False
PKM-001,2025-09-01,OBT-013,34,0,0,34,False
PKM-001,2025-10-01,OBT-013,34,0,0,34,False
PKM-001,2025-11-01,OBT-013,34,0,23,11,False
PKM-001,2025-12-01,OBT-013,11,0,11,0,True
PKM-001,2023-01-01,OBT-014,6,0,0,6,False
PKM-001,2023-02-01,OBT-014,6,0,0,6,False
PKM-001,2023-03-01,OBT-014,6,0,0,6,False
PKM-001,2023-04-01,OBT-014,6,0,0,6,False
PKM-001,2023-05-01,OBT-014,6,0,0,6,False
PKM-001,2023-06-01,OBT-014,6,0,0,6,False
PKM-001,2023-07-01,OBT-014,6,0,0,6,False
PKM-001,2023-08-01,OBT-014,6,0,6,0,True
PKM-001,2023-09-01,OBT-014,22,22,0,22,False
PKM-001,2023-10-01,OBT-014,22,0,0,22,False
PKM-001,2023-11-01,OBT-014,22,0,0,22,False
