facility_id,period,condition_id,manual_cases,anamnesis_indicated_cases,estimated_total_cases,confidence_level
PKM-001,2024-10-01,K02,1,0.0,1.0,high
PKM-001,2024-10-01,K11,1,0.0,1.0,high
PKM-001,2024-10-01,K15,1,0.0,1.0,high
PKM-001,2024-11-01,K01,4,0.0,4.0,high
PKM-001,2024-11-01,K07,1,0.0,1.0,high
PKM-001,2024-11-01,K08,1,0.0,1.0,high
PKM-001,2024-11-01,K13,1,0.0,1.0,high
PKM-001,2024-11-01,K14,1,0.0,1.0,high
PKM-001,2024-11-01,K15,1,0.0,1.0,high
PKM-001,2024-11-01,K16,2,0.0,2.0,high
PKM-001,2024-12-01,K01,4,0.0,4.0,high
PKM-001,2024-12-01,K04,1,0.0,1.0,high
PKM-001,2024-12-01,K07,1,0.0,1.0,high
PKM-001,2024-12-01,K11,1,0.0,1.0,high
PKM-001,2024-12-01,K15,1,0.0,1.0,high
PKM-001,2025-01-01,K01,4,1.92,5.92,high
PKM-001,2025-01-01,K02,2,1.659,3.659,high
PKM-001,2025-01-01,K05,1,0.0,1.0,high
PKM-001,2025-01-01,K11,2,0.0,2.0,high
PKM-001,2025-02-01,K01,1,0.0,1.0,high
PKM-001,2025-02-01,K02,0,0.971,0.971,high
PKM-001,2025-02-01,K05,1,0.0,1.0,high
PKM-001,2025-02-01,K07,1,0.0,1.0,high
PKM-001,2025-02-01,K11,1,0.0,1.0,high
PKM-001,2025-02-01,K12,0,0.716,0.716,high
PKM-001,2025-02-01,K14,1,0.0,1.0,high
PKM-001,2025-02-01,K15,1,0.0,1.0,high
PKM-001,2025-03-01,K01,4,0.351,4.351,high
PKM-001,2025-03-01,K02,1,0.0,1.0,high
PKM-001,2025-03-01,K06,1,0.0,1.0,high
PKM-001,2025-03-01,K14,1,0.0,1.0,high
PKM-001,2025-03-01,K15,0,0.405,0.405,high
PKM-001,2025-04-01,K02,1,0.978,1.978,high
PKM-001,2025-04-01,K03,0,0.322,0.322,high
PKM-001,2025-04-01,K05,1,0.0,1.0,high
PKM-001,2025-04-01,K12,1,0.0,1.0,high
PKM-001,2025-04-01,K13,1,0.515,1.515,high
PKM-001,2025-05-01,K01,3,0.901,3.901,high
PKM-001,2025-05-01,K02,1,0.978,1.978,high
PKM-001,2025-05-01,K11,1,0.0,1.0,high
PKM-001,2025-05-01,K13,2,0.0,2.0,high
PKM-001,2025-05-01,K14,2,0.0,2.0,high
PKM-001,2025-06-01,K01,4,0.0,4.0,high
PKM-001,2025-06-01,K02,1,0.0,1.0,high
PKM-001,2025-06-01,K04,1,0.0,1.0,high
PKM-001,2025-06-01,K13,2,0.0,2.0,high
PKM-001,2025-07-01,K01,1,0.979,1.979,high
PKM-001,2025-07-01,K02,1,0.971,1.971,high
PKM-001,2025-07-01,K03,1,1.224,2.224,high
PKM-001,2025-07-01,K05,0,0.823,0.823,high
PKM-001,2025-07-01,K12,1,0.0,1.0,high
PKM-001,2025-07-01,K13,0,0.442,0.442,high
PKM-001,2025-07-01,K16,3,0.0,3.0,high
PKM-001,2025-08-01,K01,1,0.0,1.0,high
PKM-001,2025-08-01,K02,1,0.6,1.6,high
PKM-001,2025-08-01,K03,1,0.326,1.326,high
PKM-001,2025-08-01,K07,1,0.0,1.0,high
PKM-001,2025-08-01,K11,1,0.0,1.0,high
PKM-001,2025-08-01,K12,1,0.0,1.0,high
PKM-001,2025-08-01,K14,1,0.0,1.0,high
PKM-001,2025-08-01,K16,1,0.608,1.608,high
PKM-001,2025-09-01,K02,1,0.0,1.0,high
PKM-001,2025-09-01,K13,1,0.0,1.0,high
PKM-001,2025-09-01,K14,1,0.0,1.0,high
PKM-001,2025-09-01,K16,1,0.0,1.0,high
PKM-001,2025-10-01,K01,3,0.0,3.0,high
PKM-001,2025-10-01,K02,1,0.971,1.971,high
PKM-001,2025-10-01,K04,1,0.0,1.0,high
PKM-001,2025-10-01,K13,3,0.0,3.0,high
PKM-001,2025-10-01,K14,2,0.0,2.0,high
PKM-001,2025-10-01,K15,1,0.0,1.0,high
PKM-001,2025-11-01,K01,2,1.323,3.323,high
PKM-001,2025-11-01,K03,1,0.0,1.0,high
PKM-001,2025-11-01,K05,1,0.0,1.0,high
PKM-001,2025-11-01,K06,1,0.508,1.508,high
PKM-001,2025-11-01,K11,1,0.288,1.288,high
PKM-001,2025-11-01,K12,0,0.36,0.36,high
PKM-001,2025-11-01,K13,1,0.0,1.0,high
PKM-001,2025-11-01,K15,2,0.0,2.0,high
PKM-001,2025-12-01,K05,1,0.0,1.0,high
PKM-001,2025-12-01,K14,1,0.0,1.0,high
PKM-001,2025-12-01,K16,1,0.0,1.0,high
PKM-002,2023-01-01,K01,1,0.0,1.0,high
PKM-002,2023-01-01,K02,1,0.0,1.0,high
PKM-002,2023-01-01,K05,3,0.0,3.0,high
PKM-002,2023-01-01,K07,1,0.0,1.0,high
PKM-002,2023-01-01,K11,1,0.0,1.0,high
PKM-002,2023-01-01,K13,1,0.0,1.0,high
PKM-002,2023-02-01,K01,5,0.0,5.0,high
PKM-002,2023-02-01,K06,1,0.0,1.0,high
PKM-002,2023-02-01,K11,1,0.0,1.0,high
PKM-002,2023-02-01,K15,1,0.0,1.0,high
PKM-002,2023-03-01,K01,2,0.0,2.0,high
PKM-002,2023-03-01,K09,1,0.0,1.0,high
PKM-002,2023-03-01,K11,1,0.0,1.0,high
PKM-002,2023-03-01,K13,1,0.0,1.0,high
PKM-002,2023-04-01,K01,2,0.0,2.0,high
PKM-002,2023-04-01,K02,1,0.0,1.0,high
PKM-002,2023-04-01,K03,1,0.0,1.0,high
PKM-002,2023-04-01,K04,1,0.0,1.0,high
PKM-002,2023-04-01,K13,1,0.0,1.0,high
PKM-002,2023-04-01,K14,2,0.0,2.0,high
PKM-002,2023-05-01,K01,1,0.0,1.0,high
PKM-002,2023-05-01,K02,2,0.0,2.0,high
PKM-002,2023-05-01,K05,1,0.0,1.0,high
PKM-002,2023-05-01,K11,1,0.0,1.0,high
PKM-002,2023-05-01,K14,3,0.0,3.0,high
PKM-002,2023-06-01,K01,1,0.0,1.0,high
PKM-002,2023-06-01,K03,1,0.0,1.0,high
PKM-002,2023-06-01,K07,1,0.0,1.0,high
PKM-002,2023-06-01,K11,1,0.0,1.0,high
PKM-002,2023-06-01,K12,2,0.0,2.0,high
PKM-002,2023-06-01,K13,1,0.0,1.0,high
PKM-002,2023-06-01,K16,1,0.0,1.0,high
PKM-002,2023-07-01,K01,2,0.0,2.0,high
PKM-002,2023-07-01,K03,1,0.0,1.0,high
PKM-002,2023-07-01,K05,2,0.0,2.0,high
PKM-002,2023-07-01,K13,1,0.0,1.0,high
PKM-002,2023-07-01,K16,1,0.0,1.0,high
PKM-002,2023-08-01,K01,1,0.0,1.0,high
PKM-002,2023-08-01,K02,3,0.0,3.0,high
PKM-002,2023-08-01,K06,1,0.0,1.0,high
PKM-002,2023-08-01,K11,2,0.0,2.0,high
PKM-002,2023-08-01,K12,1,0.0,1.0,high
PKM-002,2023-08-01,K13,1,0.0,1.0,high
PKM-002,2023-08-01,K14,2,0.0,2.0,high
PKM-002,2023-09-01,K01,3,0.0,3.0,high
PKM-002,2023-09-01,K02,1,0.0,1.0,high
PKM-002,2023-09-01,K11,1,0.0,1.0,high
PKM-002,2023-09-01,K13,1,0.0,1.0,high
PKM-002,2023-10-01,K01,2,0.0,2.0,high
PKM-002,2023-10-01,K03,1,0.0,1.0,high
PKM-002,2023-10-01,K11,1,0.0,1.0,high
PKM-002,2023-10-01,K12,1,0.0,1.0,high
PKM-002,2023-10-01,K13,1,0.0,1.0,high
PKM-002,2023-10-01,K14,1,0.0,1.0,high
PKM-002,2023-11-01,K03,1,0.0,1.0,high
PKM-002,2023-11-01,K06,2,0.0,2.0,high
PKM-002,2023-11-01,K11,1,0.0,1.0,high
PKM-002,2023-11-01,K12,1,0.0,1.0,high
PKM-002,2023-11-01,K15,1,0.0,1.0,high
PKM-002,2023-12-01,K01,1,0.0,1.0,high
PKM-002,2023-12-01,K03,1,0.0,1.0,high
PKM-002,2023-12-01,K11,2,0.0,2.0,high
PKM-002,2023-12-01,K15,1,0.0,1.0,high
PKM-002,2024-01-01,K02,2,0.0,2.0,high
PKM-002,2024-01-01,K03,1,0.0,1.0,high
PKM-002,2024-01-01,K04,1,0.0,1.0,high
PKM-002,2024-01-01,K06,1,0.0,1.0,high
PKM-002,2024-01-01,K07,1,0.0,1.0,high
PKM-002,2024-01-01,K12,1,0.0,1.0,high
PKM-002,2024-01-01,K13,1,0.0,1.0,high
PKM-002,2024-01-01,K14,1,0.0,1.0,high
PKM-002,2024-02-01,K01,1,0.0,1.0,high
PKM-002,2024-02-01,K02,2,0.0,2.0,high
PKM-002,2024-02-01,K04,1,0.0,1.0,high
PKM-002,2024-02-01,K11,1,0.0,1.0,high
PKM-002,2024-02-01,K13,1,0.0,1.0,high
PKM-002,2024-02-01,K15,1,0.0,1.0,high
PKM-002,2024-03-01,K01,2,0.0,2.0,high
PKM-002,2024-03-01,K04,1,0.0,1.0,high
PKM-002,2024-03-01,K05,2,0.0,2.0,high
PKM-002,2024-03-01,K11,1,0.0,1.0,high
PKM-002,2024-03-01,K13,2,0.0,2.0,high
PKM-002,2024-04-01,K01,1,0.0,1.0,high
PKM-002,2024-04-01,K03,1,0.0,1.0,high
PKM-002,2024-04-01,K04,1,0.0,1.0,high
PKM-002,2024-04-01,K09,1,0.0,1.0,high
PKM-002,2024-04-01,K11,2,0.0,2.0,high
PKM-002,2024-04-01,K12,2,0.0,2.0,high
PKM-002,2024-04-01,K13,1,0.0,1.0,high
PKM-002,2024-04-01,K14,1,0.0,1.0,high
PKM-002,2024-04-01,K16,1,0.0,1.0,high
PKM-002,2024-05-01,K02,3,0.0,3.0,high
PKM-002,2024-05-01,K12,1,0.0,1.0,high
PKM-002,2024-05-01,K15,1,0.0,1.0,high
PKM-002,2024-06-01,K02,3,0.0,3.0,high
PKM-002,2024-06-01,K05,3,0.0,3.0,high
PKM-002,2024-06-01,K07,1,0.0,1.0,high
PKM-002,2024-06-01,K11,1,0.0,1.0,high
PKM-002,2024-06-01,K12,1,0.0,1.0,high
PKM-002,2024-06-01,K13,1,0.0,1.0,high
PKM-002,2024-07-01,K01,1,0.0,1.0,high
PKM-002,2024-07-01,K02,1,0.0,1.0,high
PKM-002,2024-07-01,K05,1,0.0,1.0,high
PKM-002,2024-07-01,K06,1,0.0,1.0,high
PKM-002,2024-07-01,K13,1,0.0,1.0,high
PKM-002,2024-07-01,K14,1,0.0,1.0,high
PKM-002,2024-07-01,K15,1,0.0,1.0,high
PKM-002,2024-08-01,K01,1,0.0,1.0,high
PKM-002,2024-08-01,K02,1,0.0,1.0,high
PKM-002,2024-08-01,K06,3,0.0,3.0,high
PKM-002,2024-08-01,K13,2,0.0,2.0,high
PKM-002,2024-09-01,K02,1,0.0,1.0,high
PKM-002,2024-09-01,K04,1,0.0,1.0,high
PKM-002,2024-09-01,K06,1,0.0,1.0,high
PKM-002,2024-09-01,K14,1,0.0,1.0,high
PKM-002,2024-10-01,K01,2,0.0,2.0,high
PKM-002,2024-10-01,K05,1,0.0,1.0,high
PKM-002,2024-11-01,K01,3,0.0,3.0,high
PKM-002,2024-11-01,K02,1,0.0,1.0,high
PKM-002,2024-11-01,K11,1,0.0,1.0,high
PKM-002,2024-11-01,K13,1,0.0,1.0,high
PKM-002,2024-11-01,K14,1,0.0,1.0,high
PKM-002,2024-12-01,K01,3,0.0,3.0,high
PKM-002,2024-12-01,K02,1,0.0,1.0,high
PKM-002,2024-12-01,K03,1,0.0,1.0,high
PKM-002,2024-12-01,K04,1,0.0,1.0,high
PKM-002,2024-12-01,K06,1,0.0,1.0,high
PKM-002,2024-12-01,K11,3,0.0,3.0,high
PKM-002,2024-12-01,K13,1,0.0,1.0,high
PKM-002,2025-01-01,K02,2,2.502,4.502,high
PKM-002,2025-01-01,K03,0,1.883,1.883,high
PKM-002,2025-01-01,K05,2,0.0,2.0,high
PKM-002,2025-01-01,K06,1,0.0,1.0,high
PKM-002,2025-01-01,K11,1,0.354,1.354,high
PKM-002,2025-01-01,K12,1,0.0,1.0,high
PKM-002,2025-01-01,K13,1,0.0,1.0,high
PKM-002,2025-01-01,K14,1,0.0,1.0,high
PKM-002,2025-01-01,K15,1,0.0,1.0,high
PKM-002,2025-02-01,K01,0,2.647,2.647,high
PKM-002,2025-02-01,K02,2,0.0,2.0,high
PKM-002,2025-02-01,K03,1,0.0,1.0,high
PKM-002,2025-02-01,K08,1,0.0,1.0,high
PKM-002,2025-02-01,K13,2,0.0,2.0,high
PKM-002,2025-02-01,K14,1,0.0,1.0,high
PKM-002,2025-02-01,K15,2,0.0,2.0,high
PKM-002,2025-03-01,K02,2,0.0,2.0,high
PKM-002,2025-03-01,K06,1,0.0,1.0,high
PKM-002,2025-03-01,K12,1,0.0,1.0,high
PKM-002,2025-03-01,K14,1,0.0,1.0,high
PKM-002,2025-04-01,K01,3,0.0,3.0,high
PKM-002,2025-04-01,K02,2,0.0,2.0,high
PKM-002,2025-04-01,K07,1,0.0,1.0,high
PKM-002,2025-04-01,K13,2,0.0,2.0,high
PKM-002,2025-04-01,K15,1,0.0,1.0,high
PKM-002,2025-05-01,K01,1,0.0,1.0,high
PKM-002,2025-05-01,K02,1,0.552,1.552,high
PKM-002,2025-05-01,K05,1,0.0,1.0,high
PKM-002,2025-05-01,K06,1,0.0,1.0,high
PKM-002,2025-05-01,K09,0,0.802,0.802,high
PKM-002,2025-05-01,K11,0,0.354,0.354,high
PKM-002,2025-05-01,K13,2,0.0,2.0,high
PKM-002,2025-05-01,K16,1,0.0,1.0,high
PKM-002,2025-06-01,K02,0,0.552,0.552,high
PKM-002,2025-06-01,K06,1,0.0,1.0,high
PKM-002,2025-06-01,K09,1,0.0,1.0,high
PKM-002,2025-06-01,K11,0,0.354,0.354,high
PKM-002,2025-06-01,K12,1,0.0,1.0,high
PKM-002,2025-06-01,K13,1,0.0,1.0,high
PKM-002,2025-06-01,K14,1,0.0,1.0,high
PKM-002,2025-06-01,K15,1,0.0,1.0,high
PKM-002,2025-06-01,K16,2,0.0,2.0,high
PKM-002,2025-07-01,K01,1,0.834,1.834,high
PKM-002,2025-07-01,K02,3,0.0,3.0,high
PKM-002,2025-07-01,K05,1,0.0,1.0,high
PKM-002,2025-07-01,K06,1,0.0,1.0,high
PKM-002,2025-07-01,K11,1,0.0,1.0,high
PKM-002,2025-07-01,K13,3,0.0,3.0,high
PKM-002,2025-07-01,K15,1,0.0,1.0,high
PKM-002,2025-08-01,K01,2,0.834,2.834,high
PKM-002,2025-08-01,K02,1,0.328,1.328,high
PKM-002,2025-08-01,K07,0,0.473,0.473,high
PKM-002,2025-08-01,K13,3,0.0,3.0,high
PKM-002,2025-08-01,K14,1,0.0,1.0,high
PKM-002,2025-09-01,K01,3,0.0,3.0,high
PKM-002,2025-09-01,K02,0,1.732,1.732,high
PKM-002,2025-09-01,K03,1,1.269,2.269,high
PKM-002,2025-09-01,K05,2,0.0,2.0,high
PKM-002,2025-09-01,K06,2,0.0,2.0,high
PKM-002,2025-09-01,K11,1,0.0,1.0,high
PKM-002,2025-09-01,K13,0,0.515,0.515,high
PKM-002,2025-10-01,K01,2,0.998,2.998,high
PKM-002,2025-10-01,K02,0,2.047,2.047,high
PKM-002,2025-10-01,K03,0,0.455,0.455,high
PKM-002,2025-10-01,K06,0,0.437,0.437,high
PKM-002,2025-10-01,K07,1,0.0,1.0,high
PKM-002,2025-10-01,K11,3,0.354,3.354,high
PKM-002,2025-10-01,K13,2,0.0,2.0,high
PKM-002,2025-10-01,K14,1,0.0,1.0,high
PKM-002,2025-10-01,K15,1,0.0,1.0,high
PKM-002,2025-11-01,K01,3,0.0,3.0,high
PKM-002,2025-11-01,K02,1,1.659,2.659,high
PKM-002,2025-11-01,K03,1,0.0,1.0,high
PKM-002,2025-11-01,K04,1,0.0,1.0,high
PKM-002,2025-11-01,K09,1,0.0,1.0,high
PKM-002,2025-11-01,K11,1,0.0,1.0,high
PKM-002,2025-11-01,K12,1,0.0,1.0,high
PKM-002,2025-11-01,K14,0,0.627,0.627,high
PKM-002,2025-11-01,K16,1,0.0,1.0,high
PKM-002,2025-12-01,K01,1,0.351,1.351,high
PKM-002,2025-12-01,K02,2,0.999,2.999,high
PKM-002,2025-12-01,K04,1,0.0,1.0,high
PKM-002,2025-12-01,K06,1,0.0,1.0,high
PKM-002,2025-12-01,K13,1,0.0,1.0,high
PKM-002,2025-12-01,K15,0,0.405,0.405,high
PKM-003,2023-01-01,K01,7,0.0,7.0,high
PKM-003,2023-01-01,K02,4,0.0,4.0,high
PKM-003,2023-01-01,K05,2,0.0,2.0,high
PKM-003,2023-01-01,K06,1,0.0,1.0,high
PKM-003,2023-01-01,K11,2,0.0,2.0,high
PKM-003,2023-01-01,K14,2,0.0,2.0,high
PKM-003,2023-01-01,K15,1,0.0,1.0,high
PKM-003,2023-02-01,K01,6,0.0,6.0,high
PKM-003,2023-02-01,K02,2,0.0,2.0,high
PKM-003,2023-02-01,K04,1,0.0,1.0,high
PKM-003,2023-02-01,K11,2,0.0,2.0,high
PKM-003,2023-02-01,K12,1,0.0,1.0,high
PKM-003,2023-02-01,K13,1,0.0,1.0,high
PKM-003,2023-02-01,K14,1,0.0,1.0,high
PKM-003,2023-02-01,K15,2,0.0,2.0,high
PKM-003,2023-03-01,K01,3,0.0,3.0,high
PKM-003,2023-03-01,K02,6,0.0,6.0,high
PKM-003,2023-03-01,K07,1,0.0,1.0,high
PKM-003,2023-03-01,K11,1,0.0,1.0,high
PKM-003,2023-03-01,K13,2,0.0,2.0,high
PKM-003,2023-03-01,K14,3,0.0,3.0,high
PKM-003,2023-04-01,K01,1,0.0,1.0,high
PKM-003,2023-04-01,K02,4,0.0,4.0,high
PKM-003,2023-04-01,K04,1,0.0,1.0,high
PKM-003,2023-04-01,K05,2,0.0,2.0,high
PKM-003,2023-04-01,K06,3,0.0,3.0,high
PKM-003,2023-04-01,K09,2,0.0,2.0,high
PKM-003,2023-04-01,K10,1,0.0,1.0,high
PKM-003,2023-04-01,K11,2,0.0,2.0,high
PKM-003,2023-04-01,K12,1,0.0,1.0,high
PKM-003,2023-04-01,K13,3,0.0,3.0,high
PKM-003,2023-04-01,K14,1,0.0,1.0,high
PKM-003,2023-05-01,K01,1,0.0,1.0,high
PKM-003,2023-05-01,K04,2,0.0,2.0,high
PKM-003,2023-05-01,K06,1,0.0,1.0,high
PKM-003,2023-05-01,K08,1,0.0,1.0,high
PKM-003,2023-05-01,K09,2,0.0,2.0,high
PKM-003,2023-05-01,K11,1,0.0,1.0,high
PKM-003,2023-05-01,K13,2,0.0,2.0,high
PKM-003,2023-05-01,K14,3,0.0,3.0,high
PKM-003,2023-05-01,K16,1,0.0,1.0,high
PKM-003,2023-06-01,K01,4,0.0,4.0,high
PKM-003,2023-06-01,K02,3,0.0,3.0,high
PKM-003,2023-06-01,K03,1,0.0,1.0,high
PKM-003,2023-06-01,K05,2,0.0,2.0,high
PKM-003,2023-06-01,K06,1,0.0,1.0,high
PKM-003,2023-06-01,K07,1,0.0,1.0,high
PKM-003,2023-06-01,K13,1,0.0,1.0,high
PKM-003,2023-06-01,K14,2,0.0,2.0,high
PKM-003,2023-06-01,K16,1,0.0,1.0,high
PKM-003,2023-07-01,K01,6,0.0,6.0,high
PKM-003,2023-07-01,K02,1,0.0,1.0,high
PKM-003,2023-07-01,K04,1,0.0,1.0,high
PKM-003,2023-07-01,K06,1,0.0,1.0,high
PKM-003,2023-07-01,K11,1,0.0,1.0,high
PKM-003,2023-07-01,K12,1,0.0,1.0,high
PKM-003,2023-07-01,K14,1,0.0,1.0,high
PKM-003,2023-08-01,K03,4,0.0,4.0,high
PKM-003,2023-08-01,K06,1,0.0,1.0,high
PKM-003,2023-08-01,K11,1,0.0,1.0,high
PKM-003,2023-08-01,K13,1,0.0,1.0,high
PKM-003,2023-08-01,K14,2,0.0,2.0,high
PKM-003,2023-09-01,K01,1,0.0,1.0,high
PKM-003,2023-09-01,K02,1,0.0,1.0,high
PKM-003,2023-09-01,K03,2,0.0,2.0,high
PKM-003,2023-09-01,K04,2,0.0,2.0,high
PKM-003,2023-09-01,K06,2,0.0,2.0,high
PKM-003,2023-09-01,K07,1,0.0,1.0,high
PKM-003,2023-09-01,K11,1,0.0,1.0,high
PKM-003,2023-10-01,K01,2,0.0,2.0,high
PKM-003,2023-10-01,K02,2,0.0,2.0,high
PKM-003,2023-10-01,K07,1,0.0,1.0,high
PKM-003,2023-11-01,K01,3,0.0,3.0,high
PKM-003,2023-11-01,K02,2,0.0,2.0,high
PKM-003,2023-11-01,K05,2,0.0,2.0,high
PKM-003,2023-11-01,K06,1,0.0,1.0,high
PKM-003,2023-11-01,K11,1,0.0,1.0,high
PKM-003,2023-11-01,K13,1,0.0,1.0,high
PKM-003,2023-11-01,K14,2,0.0,2.0,high
PKM-003,2023-11-01,K16,1,0.0,1.0,high
PKM-003,2023-12-01,K01,4,0.0,4.0,high
PKM-003,2023-12-01,K02,1,0.0,1.0,high
PKM-003,2023-12-01,K06,1,0.0,1.0,high
PKM-003,2023-12-01,K08,1,0.0,1.0,high
PKM-003,2023-12-01,K13,2,0.0,2.0,high
PKM-003,2023-12-01,K14,2,0.0,2.0,high
PKM-003,2023-12-01,K16,1,0.0,1.0,high
PKM-003,2024-01-01,K01,4,0.0,4.0,high
PKM-003,2024-01-01,K02,1,0.0,1.0,high
PKM-003,2024-01-01,K11,4,0.0,4.0,high
PKM-003,2024-01-01,K13,1,0.0,1.0,high
PKM-003,2024-01-01,K15,1,0.0,1.0,high
PKM-003,2024-02-01,K01,5,0.0,5.0,high
PKM-003,2024-02-01,K02,1,0.0,1.0,high
PKM-003,2024-02-01,K05,1,0.0,1.0,high
PKM-003,2024-02-01,K11,2,0.0,2.0,high
PKM-003,2024-02-01,K12,1,0.0,1.0,high
PKM-003,2024-02-01,K13,2,0.0,2.0,high
PKM-003,2024-02-01,K14,1,0.0,1.0,high
PKM-003,2024-02-01,K15,1,0.0,1.0,high
PKM-003,2024-03-01,K01,3,0.0,3.0,high
PKM-003,2024-03-01,K02,6,0.0,6.0,high
PKM-003,2024-03-01,K04,1,0.0,1.0,high
PKM-003,2024-03-01,K05,1,0.0,1.0,high
PKM-003,2024-03-01,K11,2,0.0,2.0,high
PKM-003,2024-03-01,K14,2,0.0,2.0,high
PKM-003,2024-03-01,K15,1,0.0,1.0,high
PKM-003,2024-03-01,K16,1,0.0,1.0,high
PKM-003,2024-04-01,K01,4,0.0,4.0,high
PKM-003,2024-04-01,K02,1,0.0,1.0,high
PKM-003,2024-04-01,K04,1,0.0,1.0,high
PKM-003,2024-04-01,K05,3,0.0,3.0,high
PKM-003,2024-04-01,K06,1,0.0,1.0,high
PKM-003,2024-04-01,K11,1,0.0,1.0,high
PKM-003,2024-04-01,K12,1,0.0,1.0,high
